Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
1,Grudger,2.6591666666666667,0.6688888888888889,1.0,1.0,3,0.6672222222222222,0.0016666666666666668,0.08194444444444444,0.24916666666666668,1.0,0.0,0.0,0.0
2,Defector,2.57,0.0,6.0,0.0,1,0.0,0.0,0.3909722222222222,0.6090277777777778,0.0,0.0,0.0,0.0
3,Tit For Tat,2.5445833333333336,0.7528888888888889,0.0,1.0,2,0.7103888888888888,0.0425,0.041416666666666664,0.20569444444444443,1.0,0.0,1.0,0.0
4,Win-Stay Lose-Shift,2.4625,0.8346944444444444,0.5,1.0,6,0.7094999999999999,0.12519444444444444,0.04044444444444444,0.1248611111111111,1.0,0.0,0.0,1.0
5,GTFT: 0.33,2.439583333333333,0.8349444444444445,0.0,1.0,5,0.72275,0.11219444444444444,0.027583333333333335,0.13747222222222222,1.0,0.334254537784891,1.0,0.33703873096287956
6,Cooperator,2.24375,1.0,0.0,1.0,0,0.7495277777777778,0.2504722222222222,0.0,0.0,1.0,1.0,0.0,0.0
7,Random: 0.5,2.0683333333333334,0.5005833333333334,3.0,0.4777777777777778,4,0.22605555555555557,0.27452777777777776,0.22419444444444445,0.2752222222222222,0.4878847465674162,0.4979796375355952,0.5056808954606231,0.5000164556088794
